file,n_tokens,cue_rule_within_turn_f1,cue_rule_all_boundaries_f1,random_within_turn_f1_mean,random_within_turn_f1_lo,random_within_turn_f1_hi,random_all_boundaries_f1_mean,random_all_boundaries_f1_lo,random_all_boundaries_f1_hi
SBC039,4347,0.5692,0.7506,0.2038,0.1647,0.2431,0.5028,0.4784,0.5273
SBC001,5055,0.5983,0.6779,0.2282,0.1953,0.2524,0.3513,0.3237,0.3717
SBC002,4876,0.5615,0.8011,0.1579,0.1166,0.1887,0.5639,0.5425,0.5798
SBC003,4733,0.6357,0.8266,0.1883,0.1475,0.2172,0.5847,0.5638,0.5995
SBC004,4427,0.5019,0.7111,0.1815,0.1418,0.2127,0.4661,0.4402,0.4864
SBC005,2853,0.6156,0.7643,0.1869,0.1475,0.2234,0.4572,0.4309,0.4815
SBC006,5948,0.5522,0.6366,0.2262,0.1995,0.2533,0.3382,0.3153,0.3613
SBC007,3031,0.7062,0.8193,0.1586,0.1279,0.2055,0.4588,0.4391,0.4890
SBC008,4821,0.6287,0.8032,0.1917,0.1606,0.2224,0.5331,0.5152,0.5508
SBC009,2523,0.7285,0.8343,0.1888,0.1486,0.2241,0.4773,0.4514,0.5000
SBC010,3638,0.5561,0.7659,0.1911,0.1512,0.2228,0.5298,0.5066,0.5482
SBC011,3222,0.6606,0.8117,0.1798,0.1323,0.2369,0.5155,0.4875,0.5493
SBC012,3897,0.7956,0.8323,0.2304,0.1965,0.2765,0.3649,0.3369,0.4029
SBC013,6377,0.4981,0.8415,0.1393,0.1045,0.1671,0.6688,0.6554,0.6795
SBC014,4894,0.6575,0.7475,0.1854,0.1555,0.2181,0.3872,0.3647,0.4119
SBC015,6557,0.4266,0.7057,0.1920,0.1645,0.2144,0.5056,0.4887,0.5193
SBC016,4590,0.6975,0.8728,0.1763,0.1295,0.2128,0.6172,0.5954,0.6342
SBC017,4028,0.5984,0.7225,0.2210,0.1837,0.2603,0.4210,0.3933,0.4503
SBC018,1824,0.6151,0.7632,0.2231,0.1676,0.2720,0.4783,0.4410,0.5111
SBC019,4062,0.5646,0.8199,0.1534,0.1131,0.1898,0.5937,0.5743,0.6111
SBC020,3807,0.6803,0.6844,0.2130,0.1842,0.2502,0.2217,0.1932,0.2585
SBC021,4543,0.7398,0.7862,0.2034,0.1717,0.2357,0.3298,0.3031,0.3569
SBC022,2576,0.6398,0.7673,0.1936,0.1538,0.2362,0.4349,0.4070,0.4647
SBC023,5121,0.5264,0.8177,0.1400,0.1135,0.1711,0.6208,0.6091,0.6345
SBC024,2574,0.6175,0.7866,0.2120,0.1706,0.2631,0.5063,0.4804,0.5383
SBC025,3338,0.7152,0.7152,0.2111,0.1721,0.2496,0.2111,0.1721,0.2496
SBC026,4085,0.7302,0.7591,0.1988,0.1729,0.2225,0.2794,0.2561,0.3007
SBC027,3042,0.6314,0.6793,0.2128,0.1725,0.2412,0.3010,0.2652,0.3262
SBC028,4496,0.5217,0.7361,0.2041,0.1811,0.2320,0.5173,0.5034,0.5342
SBC029,4944,0.6151,0.7930,0.1498,0.1196,0.1779,0.5134,0.4962,0.5295
