doc_id,a_precision,b_precision,a_recall,b_recall,a_f1,b_f1,a_window_diff,b_window_diff,a_boundary_similarity,b_boundary_similarity,a_hyp_ref_ratio,b_hyp_ref_ratio,a_collapse_rate,b_collapse_rate
SBC024,0.4253,0.5326,0.8517,0.7335,0.5668,0.6160,0.5458,0.3827,0.4288,0.5070,2.0103,1.3873,0.1600,0.0000
SBC005,0.3658,0.4591,0.7208,0.7434,0.4846,0.5675,0.5256,0.4250,0.3923,0.4504,1.9790,1.6193,0.0400,0.0000
SBC041,0.4251,0.4387,0.6953,0.7701,0.5273,0.5581,0.4291,0.4289,0.4285,0.4282,1.6373,1.7606,0.0667,0.1667
SBC053,0.3021,0.4291,0.7176,0.7592,0.4252,0.5480,0.6324,0.4493,0.3473,0.4194,2.3754,1.7730,0.3714,0.3143
SBC012,0.4440,0.5022,0.7784,0.8167,0.5647,0.6219,0.4226,0.3525,0.4598,0.5026,1.7624,1.6267,0.0286,0.1143
SBC045,0.3938,0.4316,0.8053,0.8163,0.5285,0.5645,0.5466,0.4992,0.4135,0.4369,2.0475,1.8932,0.2500,0.2000
SBC016,0.3005,0.3886,0.6473,0.7004,0.4097,0.4998,0.5591,0.4383,0.3070,0.3822,2.1652,1.8040,0.2750,0.2000
SBC014,0.3342,0.4147,0.6688,0.7810,0.4448,0.5413,0.5804,0.4959,0.3624,0.4149,2.0105,1.8851,0.1556,0.4222
SBC052,0.3633,0.4390,0.7616,0.6943,0.4917,0.5376,0.5566,0.4432,0.3837,0.4304,2.0970,1.5828,0.2600,0.1800
SBC044,,0.4140,,0.8181,,0.5497,,0.5101,,0.4220,,1.9768,0.4727,0.1273
