doc_id,scope,baseline,precision,recall,f1,window_diff,boundary_similarity
SBC024,within_turn,cue_rule,0.9224,0.4641,0.6175,0.2940,0.4542
SBC024,all_boundaries,cue_rule,0.9645,0.6641,0.7866,0.2045,0.6540
SBC024,within_turn,random,0.2142,0.2138,0.2140,0.5576,0.2004
SBC024,all_boundaries,random,0.5079,0.5072,0.5075,0.4629,0.4194
SBC005,within_turn,cue_rule,0.8404,0.4857,0.6156,0.2681,0.4590
SBC005,all_boundaries,cue_rule,0.9143,0.6566,0.7643,0.1926,0.6302
SBC005,within_turn,random,0.1887,0.1887,0.1887,0.5326,0.1859
SBC005,all_boundaries,random,0.4584,0.4584,0.4584,0.4374,0.3795
SBC041,within_turn,cue_rule,0.7250,0.4401,0.5477,0.2890,0.3922
SBC041,all_boundaries,cue_rule,0.8363,0.6037,0.7012,0.2890,0.5530
SBC041,within_turn,random,0.2394,0.2394,0.2394,0.4917,0.2256
SBC041,all_boundaries,random,0.4616,0.4616,0.4616,0.4917,0.3890
SBC053,within_turn,cue_rule,0.7845,0.5199,0.6254,0.2664,0.4777
SBC053,all_boundaries,cue_rule,0.8663,0.6584,0.7482,0.1902,0.6168
SBC053,within_turn,random,0.1822,0.1816,0.1819,0.5249,0.1827
SBC053,all_boundaries,random,0.4186,0.4177,0.4182,0.4304,0.3483
SBC012,within_turn,cue_rule,0.8237,0.7694,0.7956,0.1592,0.6748
SBC012,all_boundaries,cue_rule,0.8563,0.8097,0.8323,0.1592,0.7254
SBC012,within_turn,random,0.2312,0.2312,0.2312,0.5000,0.2314
SBC012,all_boundaries,random,0.3655,0.3655,0.3655,0.5000,0.3251
SBC045,within_turn,cue_rule,0.7925,0.5250,0.6316,0.3040,0.4744
SBC045,all_boundaries,cue_rule,0.8652,0.6501,0.7424,0.2166,0.6014
SBC045,within_turn,random,0.1980,0.1975,0.1977,0.5555,0.1979
SBC045,all_boundaries,random,0.4096,0.4088,0.4092,0.4629,0.3464
SBC016,within_turn,cue_rule,0.8673,0.5833,0.6975,0.1975,0.5484
SBC016,all_boundaries,cue_rule,0.9511,0.8064,0.8728,0.1388,0.7819
SBC016,within_turn,random,0.1768,0.1768,0.1768,0.4975,0.1558
SBC016,all_boundaries,random,0.6174,0.6174,0.6174,0.3958,0.5017
SBC014,within_turn,cue_rule,0.7158,0.6079,0.6575,0.2909,0.5144
SBC014,all_boundaries,cue_rule,0.7953,0.7051,0.7475,0.2063,0.6182
SBC014,within_turn,random,0.1865,0.1865,0.1865,0.5426,0.1863
SBC014,all_boundaries,random,0.3881,0.3881,0.3881,0.4486,0.3257
SBC052,within_turn,cue_rule,0.8351,0.3973,0.5385,0.3195,0.3768
SBC052,all_boundaries,cue_rule,0.9246,0.6148,0.7385,0.2269,0.5923
SBC052,within_turn,random,0.1971,0.1965,0.1968,0.5375,0.1928
SBC052,all_boundaries,random,0.4874,0.4864,0.4869,0.4419,0.4049
SBC044,within_turn,cue_rule,0.8544,0.5131,0.6411,0.2762,0.4832
SBC044,all_boundaries,cue_rule,0.8916,0.5964,0.7147,0.1936,0.5665
SBC044,within_turn,random,0.1812,0.1811,0.1811,0.5429,0.1869
SBC044,all_boundaries,random,0.3215,0.3212,0.3213,0.4489,0.2805
SBC039,within_turn,cue_rule,0.7214,0.4700,0.5692,0.3218,0.4170
SBC039,all_boundaries,cue_rule,0.8551,0.6688,0.7506,0.2336,0.6163
SBC039,within_turn,random,0.2001,0.1996,0.1998,0.5328,0.1933
SBC039,all_boundaries,random,0.5007,0.4999,0.5003,0.4380,0.4150
