doc_id,cue_rule_precision,random_precision,cue_rule_recall,random_recall,cue_rule_f1,random_f1,cue_rule_window_diff,random_window_diff,cue_rule_boundary_similarity,random_boundary_similarity
SBC024,0.9224,0.2142,0.4641,0.2138,0.6175,0.2140,0.2940,0.5576,0.4542,0.2004
SBC005,0.8404,0.1887,0.4857,0.1887,0.6156,0.1887,0.2681,0.5326,0.4590,0.1859
SBC041,0.7250,0.2394,0.4401,0.2394,0.5477,0.2394,0.2890,0.4917,0.3922,0.2256
SBC053,0.7845,0.1822,0.5199,0.1816,0.6254,0.1819,0.2664,0.5249,0.4777,0.1827
SBC012,0.8237,0.2312,0.7694,0.2312,0.7956,0.2312,0.1592,0.5000,0.6748,0.2314
SBC045,0.7925,0.1980,0.5250,0.1975,0.6316,0.1977,0.3040,0.5555,0.4744,0.1979
SBC016,0.8673,0.1768,0.5833,0.1768,0.6975,0.1768,0.1975,0.4975,0.5484,0.1558
SBC014,0.7158,0.1865,0.6079,0.1865,0.6575,0.1865,0.2909,0.5426,0.5144,0.1863
SBC052,0.8351,0.1971,0.3973,0.1965,0.5385,0.1968,0.3195,0.5375,0.3768,0.1928
SBC044,0.8544,0.1812,0.5131,0.1811,0.6411,0.1811,0.2762,0.5429,0.4832,0.1869
