doc_id,condition,sample,window,run_length,ref_boundaries_in_span,file_max_legitimate_run,old_auto_flagged,new_degenerate
SBC024,A,0,1,10,2,5,False,True
SBC024,A,2,2,31,6,5,True,True
SBC024,A,3,2,8,2,5,False,True
SBC024,A,3,3,8,2,5,False,True
SBC005,A,1,2,12,5,4,False,False
SBC005,A,4,4,29,8,4,True,True
SBC041,A,0,3,6,1,5,False,True
SBC041,A,4,3,8,2,5,False,True
SBC041,B,0,0,7,1,5,False,True
SBC041,B,0,2,8,2,5,False,True
SBC041,B,0,3,7,1,5,False,True
SBC041,B,2,1,56,15,5,True,True
SBC041,B,3,0,10,3,5,False,True
SBC041,B,3,1,15,5,5,False,False
SBC053,A,0,0,5,0,3,False,True
SBC053,A,0,2,4,1,3,False,True
SBC053,A,1,1,149,30,3,True,True
SBC053,A,1,4,4,1,3,False,True
SBC053,A,2,0,4,1,3,False,True
SBC053,A,2,1,4,1,3,False,True
SBC053,A,2,4,24,4,3,True,True
SBC053,A,2,5,4,1,3,False,True
SBC053,A,3,4,72,14,3,True,True
SBC053,A,4,0,25,5,3,True,True
SBC053,A,4,1,4,1,3,False,True
SBC053,A,4,2,4,0,3,False,True
SBC053,A,4,4,21,5,3,False,True
SBC053,B,0,1,16,2,3,False,True
SBC053,B,0,2,9,2,3,False,True
SBC053,B,1,1,71,14,3,True,True
SBC053,B,1,2,6,1,3,False,True
SBC053,B,2,0,4,1,3,False,True
SBC053,B,2,1,21,3,3,False,True
SBC053,B,2,2,6,1,3,False,True
SBC053,B,2,5,4,1,3,False,True
SBC053,B,3,1,5,1,3,False,True
SBC053,B,4,0,25,5,3,True,True
SBC053,B,4,2,9,2,3,False,True
SBC012,A,4,6,10,1,5,False,True
SBC012,B,0,2,11,3,5,False,True
SBC012,B,2,1,29,5,5,True,True
SBC012,B,2,2,7,2,5,False,True
SBC012,B,3,2,7,2,5,False,True
SBC012,B,4,4,14,7,5,False,False
SBC045,A,0,4,7,1,4,False,True
SBC045,A,1,1,6,1,4,False,True
SBC045,A,1,4,10,3,4,False,True
SBC045,A,2,0,5,1,4,False,True
SBC045,A,2,5,14,4,4,False,True
SBC045,A,3,2,8,1,4,False,True
SBC045,A,3,6,13,3,4,False,True
SBC045,A,4,1,89,17,4,True,True
SBC045,A,4,4,6,1,4,False,True
SBC045,A,4,6,10,3,4,False,True
SBC045,B,1,4,5,1,4,False,True
SBC045,B,1,5,7,1,4,False,True
SBC045,B,2,0,11,2,4,False,True
SBC045,B,2,4,5,1,4,False,True
SBC045,B,2,5,9,2,4,False,True
