doc_id,condition,sample,offset,count,cue_after_named_word_count
SBC024,A,0,-3,45,0
SBC024,A,0,-2,69,0
SBC024,A,0,-1,119,0
SBC024,A,0,0,393,0
SBC024,A,0,1,131,0
SBC024,A,0,2,86,0
SBC024,A,0,3,32,0
SBC024,A,0,beyond,156,0
SBC024,A,1,-3,33,0
SBC024,A,1,-2,45,0
SBC024,A,1,-1,81,0
SBC024,A,1,0,414,0
SBC024,A,1,1,121,0
SBC024,A,1,2,56,0
SBC024,A,1,3,20,0
SBC024,A,1,beyond,116,0
SBC024,A,2,-3,12,0
SBC024,A,2,-2,21,0
SBC024,A,2,-1,56,0
SBC024,A,2,0,301,0
SBC024,A,2,1,81,0
SBC024,A,2,2,30,0
SBC024,A,2,3,11,0
SBC024,A,2,beyond,66,0
SBC024,A,3,-3,42,0
SBC024,A,3,-2,62,0
SBC024,A,3,-1,103,0
SBC024,A,3,0,425,0
SBC024,A,3,1,150,0
SBC024,A,3,2,73,0
SBC024,A,3,3,32,0
SBC024,A,3,beyond,118,0
SBC024,A,4,-3,45,0
SBC024,A,4,-2,68,0
SBC024,A,4,-1,98,0
SBC024,A,4,0,427,0
SBC024,A,4,1,142,0
SBC024,A,4,2,65,0
SBC024,A,4,3,24,0
SBC024,A,4,beyond,125,0
SBC024,B,0,-3,11,2
SBC024,B,0,-2,32,3
SBC024,B,0,-1,103,75
SBC024,B,0,0,376,50
SBC024,B,0,1,64,3
SBC024,B,0,2,28,2
SBC024,B,0,3,18,2
SBC024,B,0,beyond,61,2
SBC024,B,1,-3,13,2
SBC024,B,1,-2,28,2
SBC024,B,1,-1,102,82
SBC024,B,1,0,358,49
SBC024,B,1,1,41,2
SBC024,B,1,2,28,1
SBC024,B,1,3,12,2
SBC024,B,1,beyond,46,3
SBC024,B,2,-3,15,2
SBC024,B,2,-2,29,2
SBC024,B,2,-1,105,77
SBC024,B,2,0,354,45
SBC024,B,2,1,56,4
SBC024,B,2,2,37,2
SBC024,B,2,3,15,2
SBC024,B,2,beyond,49,3
SBC024,B,3,-3,33,3
SBC024,B,3,-2,48,2
SBC024,B,3,-1,122,88
SBC024,B,3,0,351,50
SBC024,B,3,1,74,4
SBC024,B,3,2,53,2
SBC024,B,3,3,16,2
SBC024,B,3,beyond,87,3
SBC024,B,4,-3,12,2
SBC024,B,4,-2,24,1
SBC024,B,4,-1,109,90
SBC024,B,4,0,347,49
SBC024,B,4,1,44,4
SBC024,B,4,2,21,2
SBC024,B,4,3,13,2
SBC024,B,4,beyond,43,3
SBC005,A,0,-3,44,0
SBC005,A,0,-2,49,0
SBC005,A,0,-1,110,0
SBC005,A,0,0,341,0
SBC005,A,0,1,128,0
SBC005,A,0,2,67,0
SBC005,A,0,3,24,0
SBC005,A,0,beyond,128,0
SBC005,A,1,-3,51,0
SBC005,A,1,-2,65,0
SBC005,A,1,-1,130,0
SBC005,A,1,0,340,0
SBC005,A,1,1,156,0
SBC005,A,1,2,80,0
SBC005,A,1,3,38,0
SBC005,A,1,beyond,121,0
SBC005,A,2,-3,40,0
SBC005,A,2,-2,50,0
SBC005,A,2,-1,106,0
SBC005,A,2,0,353,0
SBC005,A,2,1,125,0
SBC005,A,2,2,82,0
SBC005,A,2,3,30,0
SBC005,A,2,beyond,117,0
SBC005,A,3,-3,52,0
SBC005,A,3,-2,71,0
SBC005,A,3,-1,130,0
SBC005,A,3,0,373,0
SBC005,A,3,1,157,0
SBC005,A,3,2,87,0
SBC005,A,3,3,40,0
SBC005,A,3,beyond,178,0
SBC005,A,4,-3,30,0
SBC005,A,4,-2,38,0
SBC005,A,4,-1,71,0
SBC005,A,4,0,291,0
SBC005,A,4,1,113,0
SBC005,A,4,2,51,0
SBC005,A,4,3,14,0
SBC005,A,4,beyond,83,0
SBC005,B,0,-3,34,6
SBC005,B,0,-2,25,6
SBC005,B,0,-1,181,150
SBC005,B,0,0,379,49
SBC005,B,0,1,87,9
SBC005,B,0,2,34,6
SBC005,B,0,3,9,1
SBC005,B,0,beyond,73,11
SBC005,B,1,-3,34,4
SBC005,B,1,-2,35,6
SBC005,B,1,-1,145,115
SBC005,B,1,0,373,46
SBC005,B,1,1,79,7
SBC005,B,1,2,42,4
SBC005,B,1,3,18,2
SBC005,B,1,beyond,75,7
SBC005,B,2,-3,23,4
SBC005,B,2,-2,27,7
SBC005,B,2,-1,168,132
SBC005,B,2,0,354,48
SBC005,B,2,1,75,9
SBC005,B,2,2,37,5
SBC005,B,2,3,19,1
SBC005,B,2,beyond,67,8
SBC005,B,3,-3,26,5
SBC005,B,3,-2,43,7
SBC005,B,3,-1,144,112
SBC005,B,3,0,355,46
SBC005,B,3,1,76,8
SBC005,B,3,2,40,5
SBC005,B,3,3,19,1
SBC005,B,3,beyond,88,9
SBC005,B,4,-3,25,6
SBC005,B,4,-2,28,7
SBC005,B,4,-1,165,132
SBC005,B,4,0,353,49
SBC005,B,4,1,76,8
SBC005,B,4,2,34,6
SBC005,B,4,3,10,1
SBC005,B,4,beyond,76,7
SBC041,A,0,-3,53,0
SBC041,A,0,-2,65,0
SBC041,A,0,-1,108,0
SBC041,A,0,0,456,0
SBC041,A,0,1,121,0
SBC041,A,0,2,95,0
SBC041,A,0,3,40,0
SBC041,A,0,beyond,90,0
SBC041,A,1,-3,53,0
SBC041,A,1,-2,76,0
SBC041,A,1,-1,113,0
SBC041,A,1,0,485,0
SBC041,A,1,1,138,0
SBC041,A,1,2,95,0
SBC041,A,1,3,45,0
SBC041,A,1,beyond,110,0
SBC041,A,2,-3,53,0
SBC041,A,2,-2,61,0
SBC041,A,2,-1,115,0
SBC041,A,2,0,431,0
SBC041,A,2,1,133,0
