doc_id,condition,sample,scope,precision,recall,f1,window_diff,boundary_similarity,hyp_ref_ratio,n_ref_boundaries,n_hyp_boundaries,flagged,collapse_rate,share_words_in_runs,total_window_draws
SBC024,A,0,within_turn,0.3812,0.8070,0.5178,0.5862,0.3947,2.1170,487,1031,False,0.1600,0.0044,25
SBC024,A,0,all_boundaries,0.5170,0.8790,0.6511,0.4712,0.5239,1.7001,777,1321,False,0.1600,0.0044,25
SBC024,A,1,within_turn,0.4673,0.8501,0.6031,0.4839,0.4608,1.8193,487,886,False,0.1600,0.0044,25
SBC024,A,1,all_boundaries,0.5986,0.9060,0.7209,0.3670,0.5889,1.5135,777,1176,False,0.1600,0.0044,25
SBC024,A,3,within_turn,0.4229,0.8727,0.5697,0.5589,0.4261,2.0637,487,1005,False,0.1600,0.0044,25
SBC024,A,3,all_boundaries,0.5521,0.9202,0.6902,0.4285,0.5517,1.6667,777,1295,False,0.1600,0.0044,25
SBC024,A,4,within_turn,0.4296,0.8768,0.5766,0.5543,0.4335,2.0411,487,994,False,0.1600,0.0044,25
SBC024,A,4,all_boundaries,0.5584,0.9228,0.6958,0.4312,0.5587,1.6525,777,1284,False,0.1600,0.0044,25
SBC024,A,2,within_turn,0.4330,0.8624,0.5765,0.4994,0.4274,1.9918,487,970,True,0.1600,0.0044,25
SBC024,A,2,all_boundaries,0.5635,0.9138,0.6971,0.3931,0.5549,1.6216,777,1260,True,0.1600,0.0044,25
SBC024,B,0,within_turn,0.5426,0.7721,0.6373,0.3855,0.5143,1.4230,487,693,False,0.0000,0.0000,25
SBC024,B,0,all_boundaries,0.6775,0.8571,0.7568,0.2897,0.6476,1.2651,777,983,False,0.0000,0.0000,25
SBC024,B,1,within_turn,0.5701,0.7351,0.6422,0.3602,0.5243,1.2895,487,628,False,0.0000,0.0000,25
SBC024,B,1,all_boundaries,0.7059,0.8340,0.7646,0.2683,0.6611,1.1815,777,918,False,0.0000,0.0000,25
SBC024,B,2,within_turn,0.5364,0.7269,0.6173,0.3652,0.5128,1.3552,487,660,False,0.0000,0.0000,25
SBC024,B,2,all_boundaries,0.6779,0.8288,0.7458,0.2811,0.6499,1.2227,777,950,False,0.0000,0.0000,25
