file,a_n,b_n,c_n,d_n,e_n,f_n,g_n,a_capitalised,b_capitalised,c_capitalised,d_capitalised,e_capitalised,f_capitalised,g_capitalised
SBC001,241,603,56,98,192,3719,1,175,37,44,14,158,54,1
SBC002,156,353,18,47,568,3538,0,138,20,14,22,485,143,0
SBC003,237,379,23,68,679,3214,2,232,21,23,34,572,107,2
SBC004,176,424,17,59,360,3234,1,156,47,16,35,284,91,1
SBC005,114,279,17,21,225,2055,2,113,13,17,8,196,93,0
SBC006,372,683,42,107,203,4358,1,354,67,38,62,181,269,1
SBC007,104,260,18,20,221,2277,0,98,25,15,10,205,79,0
SBC008,112,611,15,21,578,3341,0,99,26,11,9,481,67,0
SBC009,134,204,22,35,218,1827,0,125,11,18,21,190,16,0
SBC010,137,318,6,85,404,2500,2,125,35,5,12,315,78,0
SBC011,150,233,15,45,323,2308,0,146,16,15,17,281,59,0
SBC012,277,459,50,28,171,2839,1,243,25,49,17,155,136,0
SBC013,222,355,20,62,1059,4443,2,217,42,18,44,925,156,2
SBC014,169,569,7,78,276,3720,1,163,38,7,33,228,193,0
SBC015,240,604,20,139,645,4696,2,177,39,14,22,402,180,2
SBC016,163,405,8,50,750,3100,0,157,15,6,17,465,89,0
SBC017,186,509,12,73,275,2897,1,103,18,7,7,134,32,0
SBC018,83,224,10,18,171,1274,7,64,33,6,4,145,54,6
SBC019,150,275,17,32,530,2933,2,114,36,14,12,448,148,1
SBC020,252,511,14,13,7,2973,3,234,21,12,3,5,215,3
SBC021,333,473,20,15,160,3416,0,294,52,16,1,143,127,0
SBC022,103,255,9,51,189,1881,3,87,21,8,9,160,66,1
SBC023,108,355,17,70,704,3665,1,88,29,14,14,527,219,0
SBC024,231,152,10,62,276,1761,3,224,15,10,25,254,38,3
SBC025,266,392,8,24,1,2606,0,265,18,8,3,1,156,0
SBC026,136,569,7,41,81,3177,1,118,33,6,4,65,142,1
SBC027,283,277,21,20,81,2318,0,282,8,21,10,73,28,0
SBC028,191,453,41,45,486,3080,3,180,27,36,32,452,96,3
SBC029,213,299,19,86,481,3727,2,208,11,17,26,405,29,2
SBC030,270,403,1,29,7,2893,1,251,29,1,4,7,188,0
SBC031,161,317,32,61,660,3305,1,161,23,32,52,595,149,1
SBC032,202,503,15,52,801,4233,5,201,28,15,43,696,286,5
SBC033,78,154,3,27,385,1705,1,78,16,3,22,349,61,1
SBC034,134,195,20,34,253,1911,0,134,9,20,32,238,73,0
SBC035,150,359,6,32,593,3812,1,150,33,6,28,500,247,1
SBC036,186,481,40,98,680,4418,2,184,18,40,96,622,161,2
SBC038,218,306,5,8,107,3020,0,218,3,5,6,98,65,0
SBC039,169,512,19,34,442,3093,2,169,16,19,31,393,95,2
SBC040,191,367,8,18,19,3222,0,191,47,8,18,19,358,0
SBC041,187,415,10,11,259,2111,1,185,13,10,11,219,19,1
SBC042,119,127,16,29,305,2006,2,119,14,16,28,289,75,2
SBC043,222,531,40,84,384,4673,2,222,40,39,84,347,147,2
SBC044,257,636,20,50,214,4826,0,255,29,20,49,200,154,0
SBC045,171,466,48,35,262,3133,3,170,28,48,29,251,126,3
SBC046,101,307,7,44,203,2220,1,98,13,7,44,183,26,1
SBC047,189,433,20,36,360,3059,0,185,34,19,29,303,66,0
SBC048,142,176,12,34,539,1768,5,137,27,10,14,506,106,5
SBC049,191,290,16,57,518,3367,1,187,38,16,41,448,102,1
SBC050,152,164,33,23,432,2158,5,148,20,32,20,385,69,4
SBC051,226,437,17,73,682,3705,1,214,69,17,63,606,281,1
SBC052,201,582,31,66,513,3899,0,198,100,28,49,479,235,0
SBC053,144,365,5,56,233,2726,1,141,27,5,14,222,115,1
SBC054,188,283,10,7,45,2064,0,181,17,10,6,44,36,0
SBC055,222,430,1,9,28,2121,0,219,37,1,6,26,123,0
SBC056,337,417,36,66,563,5010,3,326,46,35,55,521,165,3
SBC057,300,296,25,32,232,2631,2,293,49,25,18,221,118,2
SBC058,188,230,24,34,389,2613,0,177,38,24,30,368,173,0
SBC059,203,407,19,52,869,4353,5,197,51,19,38,788,178,3
SBC060,197,512,0,55,135,2985,3,190,72,0,47,121,181,3
