U+0020	' '	count=302561
U+0021	'!'	count=378
U+0022	'"'	count=6
U+0023	'#'	count=156
U+0024	'$'	count=10
U+0025	'%'	count=1687
U+0026	'&'	count=126
U+0027	"'"	count=12977
U+0028	'('	count=14447
U+0029	')'	count=14443
U+002A	'*'	count=7
U+002B	'+'	count=177
U+002C	','	count=29295
U+002D	'-'	count=14463
U+002E	'.'	count=103427
U+002F	'/'	count=10
U+0030	'0'	count=324
U+0031	'1'	count=19
U+0032	'2'	count=10382
U+0033	'3'	count=5127
U+0034	'4'	count=2861
U+0035	'5'	count=1729
U+0036	'6'	count=1039
U+0037	'7'	count=678
U+0038	'8'	count=497
U+0039	'9'	count=332
U+003A	':'	count=60
U+003C	'<'	count=3787
U+003D	'='	count=9721
U+003E	'>'	count=3779
U+003F	'?'	count=3669
U+0040	'@'	count=11204
U+0041	'A'	count=5166
U+0042	'B'	count=2010
U+0043	'C'	count=2002
U+0044	'D'	count=1460
U+0045	'E'	count=1356
U+0046	'F'	count=1709
U+0047	'G'	count=1667
U+0048	'H'	count=14781
U+0049	'I'	count=12785
U+004A	'J'	count=661
U+004B	'K'	count=1498
U+004C	'L'	count=1739
U+004D	'M'	count=2899
U+004E	'N'	count=2657
U+004F	'O'	count=5433
U+0050	'P'	count=1511
U+0051	'Q'	count=334
U+0052	'R'	count=2221
U+0053	'S'	count=5168
U+0054	'T'	count=5791
U+0055	'U'	count=1742
U+0056	'V'	count=1378
U+0057	'W'	count=3910
U+0058	'X'	count=5941
U+0059	'Y'	count=4096
U+005A	'Z'	count=44
U+005B	'['	count=24518
U+005D	']'	count=24498
U+005F	'_'	count=901
U+0061	'a'	count=74517
U+0062	'b'	count=12211
U+0063	'c'	count=16931
U+0064	'd'	count=35788
U+0065	'e'	count=111814
U+0066	'f'	count=14445
U+0067	'g'	count=20628
U+0068	'h'	count=65849
U+0069	'i'	count=55350
U+006A	'j'	count=1968
U+006B	'k'	count=14230
U+006C	'l'	count=36586
U+006D	'm'	count=21590
U+006E	'n'	count=62770
U+006F	'o'	count=76452
U+0070	'p'	count=12330
U+0071	'q'	count=544
U+0072	'r'	count=43812
U+0073	's'	count=52899
U+0074	't'	count=93626
U+0075	'u'	count=33624
U+0076	'v'	count=8477
U+0077	'w'	count=24236
U+0078	'x'	count=2317
U+0079	'y'	count=26002
U+007A	'z'	count=589
U+007E	'~'	count=1162
U+007F	'\x7f'	count=40
U+00E1	'á'	count=12
U+00E9	'é'	count=9
U+00ED	'í'	count=10
U+00F3	'ó'	count=3
