class,tier,count,files,before_first_word,between_words,after_last_word,iu_has_no_words
RESEARCH_COMMENT,1,288,50,14,4,1,269
BREATH_IN,2,10047,59,8036,378,67,1566
BREATH_OUT,2,1099,57,150,32,358,559
LATCHING,2,0,0,0,0,0,0
VOCAL_NOISE_CAPS,1,2542,59,1069,32,21,1420
ANGLE_OPEN,1,3434,59,2655,724,3,52
ANGLE_CLOSE,1,3419,59,1,474,2896,48
OVERLAP_NUM_OPEN,1,11062,56,5495,3464,247,1856
OVERLAP_NUM_CLOSE,1,11017,56,217,3269,5637,1894
OVERLAP_OPEN,1,13183,59,7966,3190,206,1821
OVERLAP_CLOSE,1,13202,59,368,4048,6921,1865
AT_SIGN,1,5116,59,626,488,142,3860
PAUSE_TIMED,2,0,0,0,0,0,0
PAUSE_LONG,2,15847,59,13918,1208,6,715
PAUSE_SHORT,2,13873,59,9814,3468,9,582
IU_TRUNCATION,2,4682,59,0,0,4654,28
LENGTHENING,2,9594,59,497,5293,2818,986
ACCENT_CARET,2,0,0,0,0,0,0
ACCENT_BACKTICK,2,0,0,0,0,0,0
BOOSTER_BANG,2,378,11,132,246,0,0
BOOSTER_SEMI,2,0,0,0,0,0,0
GLOTTAL,2,1658,59,906,303,302,147
PITCH_BACKSLASH,2,0,0,0,0,0,0
PITCH_SLASH,2,10,5,0,7,3,0
PITCH_UNDERSCORE,2,609,34,26,174,403,6
PERIOD,none (continuity),25937,59,15,9,25891,22
COMMA,none (continuity),29035,59,0,5,29011,19
QMARK,none (continuity),3529,59,0,0,3529,0
