pattern,file,line
DOUBLE_ANGLE_OPEN,SBC001,405
DOUBLE_ANGLE_OPEN,SBC002,908
DOUBLE_ANGLE_OPEN,SBC002,966
DOUBLE_ANGLE_CLOSE,SBC001,405
DOUBLE_ANGLE_CLOSE,SBC002,910
DOUBLE_ANGLE_CLOSE,SBC002,968
OTHER '~' (U+007E),SBC001,10
OTHER '~' (U+007E),SBC001,12
OTHER '~' (U+007E),SBC001,12
OTHER '-' (U+002D),SBC001,58
OTHER '-' (U+002D),SBC001,613
OTHER '-' (U+002D),SBC001,1051
OTHER '+' (U+002B),SBC001,405
OTHER '+' (U+002B),SBC004,905
OTHER '+' (U+002B),SBC004,905
OTHER '#' (U+0023),SBC015,445
OTHER '#' (U+0023),SBC015,485
OTHER '#' (U+0023),SBC015,488
OTHER '0' (U+0030),SBC007,519
OTHER '0' (U+0030),SBC015,29
OTHER '0' (U+0030),SBC015,339
"OTHER ""'"" (U+0027)",SBC001,157
"OTHER ""'"" (U+0027)",SBC001,446
"OTHER ""'"" (U+0027)",SBC002,554
OTHER '>' (U+003E),SBC001,822
OTHER '>' (U+003E),SBC002,891
OTHER '>' (U+003E),SBC002,1310
OTHER '(' (U+0028),SBC001,191
OTHER '(' (U+0028),SBC002,466
OTHER '(' (U+0028),SBC006,70
OTHER '<' (U+003C),SBC001,822
OTHER '<' (U+003C),SBC002,891
OTHER '<' (U+003C),SBC002,1308
OTHER ')' (U+0029),SBC001,191
OTHER ')' (U+0029),SBC006,70
OTHER ')' (U+0029),SBC006,563
OTHER '*' (U+002A),SBC001,46
OTHER '*' (U+002A),SBC011,880
OTHER '*' (U+002A),SBC019,306
OTHER '2' (U+0032),SBC017,513
OTHER '2' (U+0032),SBC017,515
OTHER '2' (U+0032),SBC019,168
OTHER '3' (U+0033),SBC019,790
OTHER '3' (U+0033),SBC059,975
OTHER '1' (U+0031),SBC006,599
OTHER '5' (U+0035),SBC019,850
OTHER '6' (U+0036),SBC059,980
