file,raw_lines,merged_units,merges
SBC001,1312,1312,0
SBC002,1419,1414,5
SBC003,1546,1536,4
SBC004,1297,1286,10
SBC005,826,824,0
SBC006,1767,1767,0
SBC007,730,726,3
SBC008,1496,1496,0
SBC009,725,725,0
SBC010,1107,1107,0
SBC011,996,989,6
SBC012,1043,1043,0
SBC013,2259,2254,4
SBC014,1188,1184,3
SBC015,1984,1984,0
SBC016,1518,1516,1
SBC017,1169,1168,1
SBC018,566,563,3
SBC019,1266,1257,9
SBC020,840,839,1
SBC021,1197,1196,1
SBC022,705,705,0
SBC023,1518,1514,4
SBC024,875,875,0
SBC025,724,724,0
SBC026,904,902,2
SBC027,739,739,0
SBC028,1535,1535,0
SBC029,1214,1210,4
SBC030,745,745,0
SBC031,1539,1538,1
SBC032,1845,1845,0
SBC033,816,816,0
SBC034,739,739,0
SBC035,1330,1330,0
SBC036,1822,1822,0
SBC037,978,978,0
SBC038,667,667,0
SBC039,1312,1312,0
SBC040,626,626,0
SBC041,993,993,0
SBC042,715,715,0
SBC043,1497,1497,0
SBC044,1431,1431,0
SBC045,1197,1197,0
SBC046,781,781,0
SBC047,1162,1162,0
SBC048,1128,1128,0
SBC049,1273,1273,0
SBC050,959,959,0
SBC051,1681,1681,0
SBC052,1607,1607,0
SBC053,864,864,0
SBC054,615,615,0
SBC055,832,832,0
SBC056,1600,1600,0
SBC057,1012,1012,0
SBC058,982,982,0
SBC059,1857,1857,0
SBC060,1013,1013,0
