file,words,reference_segments,mean_words_per_segment,median_words_per_segment,speaker_changes,share_boundaries_at_speaker_change,zero_word_ius_dropped_share,overlap_bracket_density_per_100_words
SBC001,5055,1294,3.9064914992272026,3.0,206,0.15931941221964424,0.012213740458015267,3.1454005934718103
SBC002,4876,1261,3.866772402854877,3,607,0.48174603174603176,0.10567375886524823,12.633305988515175
SBC003,4733,1460,3.2417808219178084,2.0,712,0.4880054832076765,0.049479166666666664,11.768434396788505
SBC004,4427,1126,3.931616341030195,3.0,391,0.34755555555555556,0.11755485893416928,13.711316918906707
SBC005,2853,732,3.8975409836065573,3.0,243,0.332421340629275,0.11057108140947752,6.5194532071503675
SBC006,5948,1503,3.9574184963406522,3,217,0.14447403462050598,0.14892412231030577,9.431741761936784
SBC007,3031,682,4.444281524926686,4.0,243,0.3568281938325991,0.06060606060606061,2.4744308808973936
SBC008,4821,1404,3.4337606837606836,2.0,592,0.4219529579472559,0.056451612903225805,11.781788010786144
SBC009,2523,659,3.8285280728376327,3,234,0.3556231003039514,0.0910344827586207,5.231866825208085
SBC010,3638,1059,3.4353163361661947,2,443,0.41871455576559546,0.04336043360433604,12.479384277075315
SBC011,3222,859,3.750873108265425,3,351,0.4090909090909091,0.12791878172588833,11.390440720049659
SBC012,3897,1031,3.7798254122211445,3,180,0.17475728155339806,0.011505273250239693,2.771362586605081
SBC013,6377,1867,3.415640064274237,3,1148,0.6152197213290461,0.16837416481069042,27.755998118237418
SBC014,4894,1147,4.266782911944202,4,284,0.24781849912739964,0.028789161727349702,5.659991826726604
SBC015,6557,1800,3.642777777777778,3.0,698,0.3879933296275709,0.09274193548387097,13.34451730974531
SBC016,4590,1447,3.1720801658604008,2,774,0.5352697095435685,0.04551451187335093,19.215686274509807
SBC017,4028,1108,3.6353790613718413,3.0,284,0.2565492321589883,0.05136986301369863,7.149950347567032
SBC018,1824,543,3.3591160220994474,3,178,0.3284132841328413,0.028622540250447227,6.853070175438597
SBC019,4062,1088,3.733455882352941,3.0,565,0.5197792088316467,0.13306772908366535,14.32791728212703
SBC020,3807,814,4.676904176904177,4.0,9,0.01107011070110701,0.029797377830750895,1.260835303388495
SBC021,4543,1062,4.277777777777778,4.0,168,0.1583411875589067,0.11204013377926421,4.9966982170372
SBC022,2576,661,3.897125567322239,3,197,0.29848484848484846,0.061079545454545456,5.279503105590062
SBC023,5121,1380,3.7108695652173913,3.0,771,0.5591007976794778,0.08850726552179657,19.390743995313414
