file,segments_before,segments_after,dropped
SBC001,1309,1291,18
SBC002,1407,1256,151
SBC003,1527,1459,68
SBC004,1280,1121,159
SBC005,823,731,92
SBC006,1757,1494,263
SBC007,724,680,44
SBC008,1478,1393,85
SBC009,725,659,66
SBC010,1100,1053,47
SBC011,980,852,128
SBC012,1043,1031,12
SBC013,2239,1861,378
SBC014,1176,1139,37
SBC015,1970,1787,183
SBC016,1501,1433,68
SBC017,1158,1098,60
SBC018,562,542,20
SBC019,1225,1067,158
SBC020,818,793,25
SBC021,1185,1056,129
SBC022,696,653,43
SBC023,1506,1374,132
SBC024,863,773,90
SBC025,721,706,15
SBC026,896,870,26
SBC027,734,702,32
SBC028,1521,1318,203
SBC029,1202,1162,40
SBC030,745,725,20
SBC031,1536,1333,203
SBC032,1842,1699,143
SBC033,813,696,117
SBC034,738,691,47
SBC035,1327,1247,80
SBC036,1817,1604,213
SBC038,667,647,20
SBC039,1312,1227,85
SBC040,626,611,15
SBC041,991,930,61
SBC042,715,677,38
SBC043,1495,1403,92
SBC044,1431,1339,92
SBC045,1197,1087,110
SBC046,781,746,35
SBC047,1160,1128,32
SBC048,1126,964,162
SBC049,1271,1135,136
SBC050,958,892,66
SBC051,1673,1562,111
SBC052,1600,1516,84
SBC053,864,848,16
SBC054,614,558,56
SBC055,830,763,67
SBC056,1595,1515,80
SBC057,1009,920,89
SBC058,970,925,45
SBC059,1853,1674,179
SBC060,1007,976,31
