file,raw_line,iu_index,old_speaker,new_speaker,in_amp_chain,cause
SBC004,101,100,KATHY,CAROLYN,False,speaker_colon_fix
SBC004,708,704,KATHY,CAROLYN,False,speaker_colon_fix
SBC004,709,705,KATHY,CAROLYN,False,speaker_colon_fix
SBC013,481,478,KEN,KENDRA,False,speaker_colon_fix
SBC013,482,479,KEN,KENDRA,False,speaker_colon_fix
SBC013,483,480,KEN,KENDRA,False,speaker_colon_fix
SBC013,484,481,KEN,KENDRA,False,speaker_colon_fix
SBC013,488,485,KENDRA,WENDY,False,speaker_colon_fix
SBC013,489,486,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,495,492,KENDRA,WENDY,False,speaker_colon_fix
SBC013,496,493,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,497,494,KENDRA,MARCI,False,speaker_colon_fix
SBC013,498,495,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,499,496,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,500,497,KENDRA,WENDY,False,speaker_colon_fix
SBC013,501,498,KENDRA,WENDY,False,speaker_colon_fix
SBC013,502,499,KENDRA,WENDY,False,speaker_colon_fix
SBC013,503,500,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,504,501,KENDRA,WENDY,False,speaker_colon_fix
SBC013,505,502,KENDRA,MARCI,False,speaker_colon_fix
SBC013,506,503,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,507,504,KENDRA,WENDY,False,speaker_colon_fix
SBC013,508,505,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,509,506,KENDRA,MARCI,False,speaker_colon_fix
SBC013,510,507,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,511,508,KENDRA,WENDY,False,speaker_colon_fix
SBC013,512,509,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,516,513,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,517,514,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,518,515,KENDRA,WENDY,False,speaker_colon_fix
SBC013,519,516,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,520,517,KENDRA,WENDY,False,speaker_colon_fix
SBC013,521,518,KENDRA,KEN,False,speaker_colon_fix
SBC013,522,519,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,523,520,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,524,521,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,525,522,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,526,523,KENDRA,WENDY,False,speaker_colon_fix
SBC013,527,524,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,528,525,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,530,527,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,531,528,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,532,529,KENDRA,WENDY,False,speaker_colon_fix
SBC013,533,530,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,534,531,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,535,532,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,536,533,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,539,536,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,540,537,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,541,538,KENDRA,MARCI,False,speaker_colon_fix
SBC013,542,539,KENDRA,MARCI,False,speaker_colon_fix
SBC013,543,540,KENDRA,MARCI,False,speaker_colon_fix
SBC013,544,541,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,546,543,KENDRA,WENDY,False,speaker_colon_fix
SBC013,547,544,KENDRA,WENDY,False,speaker_colon_fix
SBC013,548,545,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,549,546,KENDRA,MARCI,False,speaker_colon_fix
SBC013,550,547,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,553,550,KENDRA,WENDY,False,speaker_colon_fix
SBC013,554,551,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,555,552,KENDRA,KEVIN,False,speaker_colon_fix
SBC013,556,553,KENDRA,KEN,False,speaker_colon_fix
SBC013,557,554,KENDRA,KEN,False,speaker_colon_fix
SBC013,558,555,KENDRA,KEN,False,speaker_colon_fix
SBC013,559,556,KENDRA,KENDRA,False,speaker_colon_fix
SBC013,561,558,KENDRA,MARCI,False,speaker_colon_fix
SBC013,562,559,KENDRA,KENDRA,False,speaker_colon_fix
SBC023,347,345,KIM,JANICE,False,speaker_colon_fix
SBC023,479,477,LORI,PATTY,False,speaker_colon_fix
SBC024,363,362,JENNIFER,>ENV,False,speaker_colon_fix
SBC027,734,733,AUD,PHIL,False,speaker_colon_fix
SBC027,735,734,AUD,PHIL,False,speaker_colon_fix
SBC027,736,735,AUD,PHIL,False,speaker_colon_fix
SBC027,737,736,AUD,PHIL,False,speaker_colon_fix
SBC027,738,737,AUD,PHIL,False,speaker_colon_fix
SBC027,739,738,AUD,PHIL,False,speaker_colon_fix
SBC028,490,489,JILL,JILL_S,False,speaker_colon_fix
SBC029,60,59,LARRY,>ENV,False,speaker_colon_fix
SBC056,421,420,GARY,JULIE,False,speaker_colon_fix
SBC056,422,421,GARY,JULIE,False,speaker_colon_fix
SBC056,423,422,GARY,JULIE,False,speaker_colon_fix
SBC056,424,423,GARY,JULIE,False,speaker_colon_fix
SBC056,425,424,GARY,JULIE,False,speaker_colon_fix
SBC056,426,425,GARY,JULIE,False,speaker_colon_fix
