value,kept,removed
A,356,12
AA,7,0
ABC,4,0
AC,1,0
ACC,0,2
ACCENT,0,2
ACH,1,0
ACP,1,0
AF,1,0
AFL,1,0
AGREEMENT,1,20
AI,1,0
AM,2,0
AMEN,0,2
AMENS,0,1
AND,0,7
APPLAUSE,0,29
ARTS,3,0
AT,2,0
B,28,2
BABY,0,4
BANG,0,2
BART,7,0
BBBB,0,3
BC,3,0
BEEP,0,1
BELCH,0,1
BK,2,0
BLOW,0,8
BLOWS,0,1
BLT,5,0
BMW,2,0
BOTTLE,0,1
BR,0,24
BREATHING,0,4
BSU,1,0
BU,2,0
BURP,0,2
BUZZ,0,3
C,22,0
CALLING,0,1
CAMERA,0,10
CANDO,1,0
CARD,0,1
CD,14,0
CH,0,2
CHA,2,0
CHEERS,0,3
CHOKE,0,3
CIA,4,0
CIO,1,0
CLAP,0,25
CLICK,0,9
CLOSING,0,2
COBCU,1,0
COU,0,1
COUGH,0,255
CRCC,1,0
CRK,0,2
CRY,0,2
CRYING,0,2
CSUN,1,0
CT,2,0
CTA,2,0
CUPBOARD,0,1
CUTTING,0,1
D,20,0
DC,2,0
DIALING,0,1
DIN,1,0
DISHES,0,1
DOG,0,1
DOOR,0,3
DR,5,0
DRINK,0,25
DRINKING,0,2
DS,1,0
E,3,1
EKG,1,0
EPT,4,0
ERASER,0,2
EXPLODE,0,1
F,8,175
FALL,0,35
FBI,3,0
FDA,1,0
FF,0,6
FICA,1,0
FINGERS,0,1
FLIPS,0,2
FM,1,0
FOOD,0,104
FOOTSTEPS,0,2
G,14,0
GASP,0,40
GI,1,0
GLASSES,0,2
GROAN,0,8
GROWL,0,1
GRUNT,0,14
H,312,9771
HI,0,287
HICCUP,0,5
HISD,2,0
HISS,0,1
HITS,0,1
HIV,6,0
HORN,1,0
HOWL,0,1
HUD,6,0
HUMMING,0,12
HX,1,3
I,9569,0
IBM,2,0
ID,3,0
IFR,1,0
IMITATING,0,5
INAUDIBLE,0,1
IR,4,0
IRA,13,0
IRS,2,0
J,11,2
JUICE,0,2
JV,1,0
K,6,0
KDB,1,0
KFAC,1,0
KISS,0,14
KKSF,2,0
KNOCK,0,3
KNOCKING,0,1
L,12,155
LA,6,0
LATERAL,0,2
LAUGHING,0,2
LAUGHTER,0,120
LCL,22,0
LIP,0,1
LIPS,0,1
LP,2,0
LPGA,1,0
M,159,1
MA,3,0
MASH,2,0
MATCH,0,1
MBA,1,0
MD,2,0
MGM,2,0
MIC,0,4
MICROPHONE,0,2
MM,1,0
MRC,0,208
MSG,2,0
MTM,1,0
MURMUR,0,41
MURMURS,0,1
N,66,0
NA,1,0
NASDAQ,1,0
NATHAN,0,1
NFL,2,0
NNN,1,0
NO,1,0
NOISE,0,6
NONSENSE,0,2
NOSE,0,2
NPH,6,0
O,114,0
OAT,0,1
OD,1,0
OJ,1,0
ON,1,0
OPENS,0,2
OU,2,0
P,6,447
PAPER,0,13
PAPERS,0,3
PAR,0,62
PAT,0,2
PE,1,0
PFEW,0,2
PFF,0,3
PHONE,0,1
POUND,0,42
POUNDING,0,4
POURS,0,1
POW,0,4
PP,0,4
PRIDE,3,0
PSH,0,1
PVA,2,0
Q,9,291
R,31,0
RA,1,0
RAP,2,0
READ,0,74
RO,1,0
ROAR,0,1
RPM,1,0
RUBBING,0,1
RUMBLE,0,1
S,89,0
SA,1,0
SAFE,2,0
SAT,5,0
SCREAM,0,3
SCREECHING,0,1
SD,1,0
SE,3,0
SEC,0,2
SEP,6,0
SH,0,1
SHOUT,0,6
SIC,0,2
SIGH,0,40
SIGHS,0,1
SING,0,93
SINGING,0,2
SLAP,0,7
SLAPPING,0,6
SLICK,1,0
SLUR,0,2
SLURP,0,5
SM,0,92
SMACKS,0,1
SMOKING,0,4
SNAP,0,25
SNAPPING,0,2
SNEEZE,0,11
SNIFF,0,367
SNIFFLE,0,2
SNORE,0,2
SNORT,0,13
SOB,0,5
SOUND,0,1
SPEC,1,0
SPRAY,0,1
SQUEAL,0,1
SS,0,2
STAPLE,0,1
STIFLED,0,1
STOMACH,0,1
STOMPING,0,2
STRETCH,0,1
STRIKE,0,1
SWALLOW,0,67
SWITCH,0,2
T,27,0
TA,4,0
TAP,0,2
TC,3,0
TEAR,0,1
THR,0,1
THROAT,0,300
THUMP,0,22
TM,1,0
TONES,0,1
TS,0,10
TSCH,0,1
TSK,1,1072
TSS,0,9
TV,23,0
U,165,0
UC,2,0
UCLA,2,0
UCSB,3,0
UDA,1,0
US,7,0
USC,1,0
USDA,1,0
USPE,2,0
VCR,1,0
VF,2,0
VFR,6,0
VOCAL,0,2
VOMIT,0,2
VOX,2,1143
VOXX,0,1
W,44,2
WH,0,272
WHISTLE,0,21
WHISTLES,0,1
WHISTLING,0,2
WI,0,2
WITH,0,1
WRITING,0,4
X,466,2436
XS,1,0
XX,380,6
XXP,0,1
XXX,166,2
XXXX,61,0
XXXXX,20,0
XXXXXX,8,0
XXXXXXXX,2,0
Y,70,0
YAWN,0,38
YELL,0,20
YMCA,2,0
YWN,0,47
