file,zero_word_ius
SBC013,382
SBC006,264
SBC036,215
SBC028,205
SBC031,203
SBC015,183
SBC059,179
SBC019,167
SBC048,163
SBC004,160
SBC002,152
SBC032,143
SBC049,136
SBC021,133
SBC023,132
SBC011,130
SBC033,117
SBC051,115
SBC045,110
SBC024,93
SBC005,92
SBC043,92
SBC044,92
SBC052,90
SBC008,89
SBC057,89
SBC039,85
SBC035,80
SBC056,80
SBC003,76
SBC016,68
SBC055,67
SBC009,66
SBC050,66
SBC041,61
SBC017,60
SBC054,56
SBC058,55
SBC010,48
SBC034,47
SBC007,44
SBC022,44
SBC029,41
SBC042,38
SBC014,37
SBC046,35
SBC027,34
SBC047,32
SBC060,31
SBC026,26
SBC020,25
SBC018,20
SBC030,20
SBC038,20
SBC001,18
SBC053,16
SBC025,15
SBC040,15
SBC012,12
